Occupation,Total Employed,Percent of total employed_women,Percent of total employed_White,Percent of total employed_Black or African American,Percent of total employed_Asian,Percent of total employed_Hispanic or Latino,Group
General and operations managers,1057,30.5,84.4,7.1,4.5,12.4,Chief executives
Advertising and promotions managers,56,52.1,80.5,14.7,3.9,3.5,Chief executives
Marketing managers,554,60.7,84.1,5.5,7.6,9.9,Chief executives
Sales managers,521,30.9,87.6,5.8,4.2,7.6,Chief executives
Public relations and fundraising managers,95,66.4,91,4.3,2.3,7.6,Chief executives
Administrative services managers,65,71.7,83.4,9.5,6.5,16.9,Chief executives
Facilities managers,134,25,90.1,4.9,2.4,12.6,Chief executives
Computer and information systems managers,744,26.6,75.5,7,15.5,5.2,Chief executives
Financial managers,1309,52.6,79.4,9.7,8.2,9.9,Chief executives
Human resources managers,287,76.8,81,12,4.9,14,Chief executives
Training and development managers,52,55.8,85.4,9.2,0.2,10.1,Chief executives
Industrial production managers,272,22.6,84.3,5.9,7.2,13.5,Chief executives
Purchasing managers,212,45.8,83.2,12.1,3.1,7.3,Chief executives
"Transportation, storage, and distribution managers",300,21.3,79.3,10.7,6.1,17.2,Chief executives
"Farmers, ranchers, and other agricultural managers",901,25.1,96.3,0.7,0.8,4.3,Chief executives
Construction managers,966,8.4,91.4,3.3,2.9,14.5,Chief executives
Education and childcare administrators,948,66.5,79.5,14.3,3.3,12,Chief executives
Architectural and engineering managers,171,9.5,84.2,3.4,9.5,4.7,Chief executives
Food service managers,1092,46.6,77.7,9.8,9.4,19.8,Chief executives
Lodging managers,123,56,74.8,12.4,10.4,11.2,Chief executives
Medical and health services managers,711,70.3,77.6,13.3,5.6,11.5,Chief executives
"Property, real estate, and community association managers",781,48.5,84.7,8.6,3.5,12.9,Chief executives
Social and community service managers,424,72.5,75.9,18.3,2.1,10.3,Chief executives
"Managers, all other",4969,37.5,83.2,8.1,5.9,10.4,"Personal service managers, all other"
Business and financial operations occupations,8578,53.9,78,10.5,8.7,11.2,"Personal service managers, all other"
"Wholesale and retail buyers, except farm products",178,52.7,82.8,9.7,5.8,14.9,"Personal service managers, all other"
"Purchasing agents, except wholesale, retail, and farm products",230,52,81.1,11.9,3.9,11.3,"Personal service managers, all other"
"Claims adjusters, appraisers, examiners, and investigators",350,60.4,71.6,19.8,4.5,15,"Personal service managers, all other"
Compliance officers,305,57.1,75.4,12,7.5,8.6,"Personal service managers, all other"
Cost estimators,121,15,93.7,2.9,2,14.1,"Personal service managers, all other"
Human resources workers,832,74.3,76.9,13,5.8,15.1,"Personal service managers, all other"
"Compensation, benefits, and job analysis specialists",74,76,84.6,11.2,2.2,9.7,"Personal service managers, all other"
Training and development specialists,115,57.1,82.1,13.2,2.7,14.1,"Personal service managers, all other"
Logisticians,147,38.1,82.6,11.8,4.4,20.6,"Personal service managers, all other"
Project management specialists,715,44.4,77.5,12.3,7.9,11.1,"Personal service managers, all other"
Management analysts,997,42.7,77.8,8.4,11.9,9.3,"Personal service managers, all other"
"Meeting, convention, and event planners",118,73.7,85.8,7.7,4.8,11.9,"Personal service managers, all other"
Fundraisers,99,74.8,85,3.7,8.4,7.4,"Personal service managers, all other"
Market research analysts and marketing specialists,438,58.6,82.8,6.5,8.1,9.1,"Personal service managers, all other"
"Business operations specialists, all other",308,57.3,72.6,12.4,11.3,9.7,"Personal service managers, all other"
Accountants and auditors,1696,59.7,77.3,9.5,11.2,10.2,"Personal service managers, all other"
Property appraisers and assessors,86,29.7,96.5,2.3,1.2,6,"Personal service managers, all other"
Budget analysts,60,53.2,69.6,13.9,7.6,14.9,"Personal service managers, all other"
Financial and investment analysts,351,41.6,68.5,7.8,21,10.2,"Personal service managers, all other"
Personal financial advisors,514,34,78.5,7.9,10.7,8.2,"Personal service managers, all other"
Insurance underwriters,102,58,78.6,9.3,6.2,11.9,"Personal service managers, all other"
Credit counselors and loan officers,400,54.4,79,13.1,4.7,12.4,"Personal service managers, all other"
Other financial specialists,82,54.2,71,15.5,7.7,9,Tax preparers
Professional and related occupations,36502,57,76.5,10.5,10.1,10.1,Tax preparers
Computer and mathematical occupations,5603,25.2,65.4,9.1,23,8.4,Tax preparers
Computer systems analysts,594,35.6,68,9.7,18.7,8.1,Tax preparers
Information security analysts,137,11.4,79.8,11.9,6.9,15.8,Tax preparers
Computer programmers,417,21.1,63.9,6.3,28.3,6.6,Tax preparers
Software developers,1883,19.4,57.5,6.2,34.1,5.9,Tax preparers
Software quality assurance analysts and testers,82,25.1,57.6,12,29.6,9.2,Tax preparers
Web developers,104,27.8,79.3,3.7,16.2,5.9,Tax preparers
Web and digital interface designers,70,44.8,81.7,5.9,9.9,15.8,Tax preparers
Computer support specialists,660,25.9,72.2,13,10.7,11.6,Tax preparers
Database administrators and architects,121,28.8,62.1,5.9,30.1,5.6,Tax preparers
Network and computer systems administrators,238,19.8,77.3,9,11.8,7.8,Tax preparers
Computer network architects,107,9.3,67.8,14.8,15.5,16.1,Tax preparers
"Computer occupations, all other",792,28,67.3,13.3,15.8,11.2,Tax preparers
Operations research analysts,156,42.9,77.5,13.6,8.6,9.5,Actuaries
Statisticians,61,50.3,60.4,7.9,28,2,Actuaries
Other mathematical science occupations,103,37.8,63.6,9.3,25.7,6.2,Actuaries
Architecture and engineering occupations,3169,16.5,78,6,13.6,10.6,Actuaries
"Architects, except landscape and naval",190,28.2,78.8,7.2,12.5,8.5,Actuaries
Aerospace engineers,129,11.6,83.3,6.8,9.1,10.5,Actuaries
Chemical engineers,70,19.4,81.5,1.5,13.9,10,Actuaries
Civil engineers,422,16,81.9,3.9,13.6,12.4,Actuaries
Computer hardware engineers,89,18.4,54.6,5.4,39.2,14.5,Actuaries
Electrical and electronics engineers,268,11.8,76.1,5.4,17.2,8.9,Actuaries
"Industrial engineers, including health and safety",225,23.4,74.7,5.2,19.1,5.9,Actuaries
Materials engineers,53,25.5,83.5,5.3,9.4,7.1,Actuaries
Mechanical engineers,357,8.7,80.4,5,11.5,6.7,Actuaries
"Engineers, all other",560,15.3,72.3,7.5,17.7,10,Nuclear engineers
Other drafters,95,18.8,90.4,1.8,6.6,22.9,Nuclear engineers
Electrical and electronic engineering technologists and technicians,82,3.2,79.5,8.8,7.1,15.4,Nuclear engineers
"Other engineering technologists and technicians, except drafters",344,19.1,76.5,9,8.7,16.4,Nuclear engineers
Surveying and mapping technicians,56,9.9,89.6,3.2,3,6.3,Nuclear engineers
"Life, physical, and social science occupations",1627,49.3,75.1,6.5,14.9,8.5,Nuclear engineers
Biological scientists,84,46,79.8,5.6,13.7,10.1,Nuclear engineers
Medical scientists,112,52.4,58.7,3.8,37.4,4.7,Nuclear engineers
Chemists and materials scientists,80,40.4,64.2,10.7,19.7,2.2,Nuclear engineers
"Physical scientists, all other",336,43.3,61.3,6.4,30.1,6.2,Nuclear engineers
Miscellaneous social scientists and related workers,50,47.7,83.4,1.9,5.5,7.8,Other psychologists
Chemical technicians,68,42.6,82.5,10.3,5,12.1,Other psychologists
"Other life, physical, and social science technicians",258,54.1,78,4.9,10.9,10.7,Social science research assistants
Occupational health and safety specialists and technicians,85,35.8,90.3,1.6,2.9,11.7,Social science research assistants
Community and social service occupations,2717,68.8,72.7,19.9,3.4,13.5,Social science research assistants
Substance abuse and behavioral disorder counselors,130,81.3,70.2,25.4,1.7,16.8,Social science research assistants
"Educational, guidance, and career counselors and advisors",343,77.8,73,19,4,14.8,Social science research assistants
Mental health counselors,138,72.9,87.5,9.4,2,14,Marriage and family therapists
"Counselors, all other",225,68.2,75,18.3,3.7,15.2,Marriage and family therapists
"Child, family, and school social workers",62,89.8,65.3,26.8,0.6,21.3,Marriage and family therapists
Healthcare social workers,78,87,69,20.3,8.2,9.2,Marriage and family therapists
"Social workers, all other",673,85.4,64.4,25.7,3.7,15,Marriage and family therapists
Probation officers and correctional treatment specialists,105,50.7,66.6,26.9,0.7,12.8,Marriage and family therapists
Social and human service assistants,230,79.6,72.6,18.9,3.2,14.9,Marriage and family therapists
Other community and social service specialists,100,77.6,61.6,30.4,3.3,12.7,Marriage and family therapists
Clergy,420,18.5,82.3,11.7,3.8,7.8,Marriage and family therapists
"Religious workers, all other",64,71.5,77.7,13.4,6.2,11.7,"Directors, religious activities and education"
Legal occupations,1882,51.9,83.5,8.6,5.6,8.3,"Directors, religious activities and education"
Lawyers,1183,37.4,86.5,6.8,5.2,5.8,"Directors, religious activities and education"
"Judges, magistrates, and other judicial workers",78,53.9,74.4,16.6,5.7,6.2,"Directors, religious activities and education"
Paralegals and legal assistants,416,85.8,79.9,10.3,6.8,15.1,"Directors, religious activities and education"
"Title examiners, abstractors, and searchers",101,69,76.4,11.5,9.2,7.8,"Directors, religious activities and education"
"Legal support workers, all other",83,62.8,73.2,17.6,2.9,10.1,"Directors, religious activities and education"
"Education, training, and library occupations",8902,73.5,82,10,4.9,10.9,"Directors, religious activities and education"
Postsecondary teachers,1156,51.1,79.1,6.5,11.2,6.2,"Directors, religious activities and education"
Preschool and kindergarten teachers,535,98.8,82.8,12,2.2,15.3,"Directors, religious activities and education"
Elementary and middle school teachers,3371,79.6,84.1,10.5,2.8,10.5,"Directors, religious activities and education"
Secondary school teachers,963,58.8,87,7.7,3,8.9,"Directors, religious activities and education"
Special education teachers,332,81.4,87.5,7.2,1.8,8.9,"Directors, religious activities and education"
Tutors,195,67.4,75.9,12.4,7.5,16,"Directors, religious activities and education"
Other teachers and instructors,687,67.5,79.1,11.6,6.2,9.7,"Directors, religious activities and education"
"Archivists, curators, and museum technicians",57,63.6,94.6,0.6,4.4,7.6,"Directors, religious activities and education"
Librarians and media collections specialists,176,83.2,83.1,9.5,3.5,9.9,"Directors, religious activities and education"
Other educational instruction and library workers,176,73.4,86.5,7.2,4,12.5,Teaching assistants
"Arts, design, entertainment, sports, and media occupations",3042,51.3,82,8.5,5.9,11.2,Teaching assistants
Artists and related workers,256,53.5,85.7,3.6,6.1,9.3,Teaching assistants
Floral designers,50,81.5,90,2.6,0.8,18.6,Teaching assistants
Graphic designers,295,57.2,83,6.7,7.8,14.4,Teaching assistants
Interior designers,131,84,79.7,6.7,10.6,7.6,Teaching assistants
Other designers,375,41.9,79.2,6.3,11.1,11.5,Teaching assistants
Producers and directors,181,45.2,83.8,6.1,6.7,8.7,Teaching assistants
Coaches and scouts,210,44.8,75.2,14.7,3.5,5.4,Teaching assistants
Music directors and composers,50,30.8,83.3,10.1,2.2,14,Teaching assistants
Musicians and singers,118,31.8,78.5,12.9,3.8,13,Teaching assistants
"News analysts, reporters, and journalists",77,54,80.1,10.9,6.7,5.3,Teaching assistants
Public relations specialists,145,59.4,83.3,11,3.4,13.6,Teaching assistants
Editors,99,61.1,94.5,0.7,0.8,8.5,Teaching assistants
Technical writers,65,50.1,88,7.3,3.6,8,Teaching assistants
Writers and authors,242,64.9,85.1,7.9,4.3,2.4,Teaching assistants
Interpreters and translators,91,72.9,74.6,8.3,11.4,29.4,Teaching assistants
"Broadcast, sound, and lighting technicians",77,8,83.6,10.6,5.8,20.2,Teaching assistants
Photographers,186,52.1,84.9,6.7,5.6,10,Teaching assistants
"Television, video, and film camera operators and editors",100,31.1,74.5,16.3,5.8,18.5,Teaching assistants
Dietitians and nutritionists,106,91.4,74.7,15.5,8.2,9.9,Dentists
Pharmacists,327,61.6,67.9,8.3,20,3.4,Dentists
Other physicians,929,40.6,67,8.5,22,8.8,Dentists
Surgeons,54,26.3,82.4,4.2,13.4,15.6,Dentists
Physician assistants,141,65.5,79.9,6.3,12.3,7.9,Dentists
Occupational therapists,124,86.3,87.6,4,7.4,6.5,Dentists
Respiratory therapists,122,72.4,75,18.5,2.3,7,Physical therapists
Speech-language pathologists,195,94.4,89.7,6.6,3.6,8.5,Physical therapists
"Therapists, all other",233,84.4,79.2,11.7,4.3,12.1,Physical therapists
Veterinarians,83,64.9,91.9,0,5.7,7,Physical therapists
Registered nurses,3256,87.4,75.3,13.4,8.7,7.9,Physical therapists
Nurse practitioners,218,88,86.2,9.1,3.2,6.3,Physical therapists
Clinical laboratory technologists and technicians,331,70.4,72.4,13.7,9.5,19,Physical therapists
Dental hygienists,190,93.9,88.9,2.1,7.7,10.5,Physical therapists
Cardiovascular technologists and technicians,50,71.9,73.9,16.2,6.7,12.3,Physical therapists
Diagnostic medical sonographers,90,84,79.3,9.3,5.5,5.1,Physical therapists
Radiologic technologists and technicians,254,67.8,85.6,6.5,5.4,11.2,Physical therapists
Emergency medical technicians,141,33.7,82.4,11.9,4,11.4,Magnetic resonance imaging technologists
Paramedics,78,28.1,93.2,3.9,2.8,8.5,Magnetic resonance imaging technologists
Pharmacy technicians,336,77.2,72.8,15,7.2,17.6,Magnetic resonance imaging technologists
Psychiatric technicians,67,82.2,67.6,24.2,1.4,12.1,Magnetic resonance imaging technologists
Surgical technologists,108,71.3,80.9,14.9,2.5,17.3,Magnetic resonance imaging technologists
Veterinary technologists and technicians,105,88.1,91.8,3.2,1.2,9.8,Magnetic resonance imaging technologists
Dietetic technicians and ophthalmic medical technicians,66,73.5,68.5,27.6,2.1,5.3,Magnetic resonance imaging technologists
Licensed practical and licensed vocational nurses,596,90,68,25.6,2.9,15.3,Magnetic resonance imaging technologists
Medical records specialists,183,95.9,76.8,16.1,1.7,13.2,Magnetic resonance imaging technologists
Miscellaneous health technologists and technicians,185,61.7,57.8,24.8,15.3,13.5,Magnetic resonance imaging technologists
Other healthcare practitioners and technical occupations,100,62.8,68.9,17.3,10.8,3.5,Magnetic resonance imaging technologists
Physical therapist assistants and aides,78,71.7,88.6,6.6,3.7,5.8,Occupational therapy assistants and aides
Massage therapists,151,80.6,73.7,10.5,10,11,Occupational therapy assistants and aides
Dental assistants,288,93.7,85.8,5.5,4.3,31.7,Occupational therapy assistants and aides
Medical assistants,561,90.2,72.9,17.4,4,27.9,Occupational therapy assistants and aides
Veterinary assistants and laboratory animal caretakers,60,75.8,80.3,2.6,1.8,26.7,Occupational therapy assistants and aides
Phlebotomists,101,84.8,66,27.6,2.8,19,Occupational therapy assistants and aides
Other healthcare support workers,147,61.1,65.5,23.6,7.1,23.6,Occupational therapy assistants and aides
Protective service occupations,3024,23.6,74.5,19.4,2.5,15.9,Occupational therapy assistants and aides
First-line supervisors of correctional officers,51,27.7,63.6,30.6,2,11.1,Occupational therapy assistants and aides
First-line supervisors of police and detectives,100,12.7,89.2,7.5,2.3,14,Occupational therapy assistants and aides
First-line supervisors of security workers,68,32.1,70.5,20.9,3.9,11.6,Occupational therapy assistants and aides
Firefighters,335,4.4,85,8.4,1.2,13.1,Occupational therapy assistants and aides
Correctional officers and jailers,346,31.7,60.9,32.9,2.7,12.8,Occupational therapy assistants and aides
Detectives and criminal investigators,159,26.4,82.8,13.9,0.7,17,Occupational therapy assistants and aides
Private detectives and investigators,90,45.4,71.6,21.9,3.8,16.2,Police officers
Security guards and gambling surveillance officers,800,25,61,31.1,3.9,19.6,Police officers
Other protective service workers,102,47.8,85.7,2.9,2.3,16.6,Police officers
Food preparation and serving related occupations,6556,54.4,74.8,13.9,6.4,27.3,Police officers
Chefs and head cooks,383,18,65.2,14.7,16.7,24.4,Police officers
